R1X;R1Y;R1Z;R2X;R2Y;R2Z;R3X;R3Y;R3Z;R4X;R4Y;R4Z;R5X;R5Y;R5Z;R6X;R6Y;R6Z;R7X;R7Y;R7Z;L1X;L1Y;L1Z;L2X;L2Y;L2Z;L3X;L3Y;L3Z;L4X;L4Y;L4Z;L5X;L5Y;L5Z;L6X;L6Y;L6Z;L7X;L7Y;L7Z
323;196;390;392;-5.4;124;355.25;20.77;226.59;11.9;-26.1;292;21.98;238.88;296.33;33.42;6.05;262.88;290.05;75.71;257.53;305.8;73.87;317.39;26.5;130;24.8;21.24;64.36;4.62;28.8;59.7;36.6;342.34;322.68;312.62;322.92;110.72;332.88;350.39;223.14;343.43
304.07;139.68;140.32;339.1;16.47;133.43;6.8;338.51;248.16;15.88;321.68;306.82;10.09;229.54;306.82;35.17;340.42;268.61;291.59;113.35;269.61;302.71;79.95;309.69;23.81;155.4;28.34;21.08;65.49;351.8;18.77;57.34;30.79;332.74;319.54;319.9;16.38;120.51;26.37;298.71;251.27;50.36
319.17;138.39;156.76;351.07;18.8;160.85;14.8;329.13;292.26;330.45;296.36;357.08;285.34;237.5;25.7;48.23;331.33;299.69;296.21;138.85;290.52;300.72;86.47;306.88;21.86;157.21;25.67;18.2;62.75;350.96;18.21;44.97;31.02;330.94;329.33;324.76;21.53;112.08;37.42;296.3;268.97;55.34
323;196;390;392;-5.4;124;355.25;20.77;226.59;11.9;-26.1;292;21.98;238.88;296.33;33.42;6.05;262.88;290.05;75.71;257.53;305.8;73.87;317.39;26.5;130;24.8;21.24;64.36;4.62;28.8;59.7;36.6;342.34;322.68;312.62;322.92;110.72;332.88;350.39;223.14;343.43
334.02;138.29;178.89;354.36;358.6;168.31;20.8;312.02;297.45;346.18;294.6;6.29;295.83;246.08;11.44;54.54;336.81;301.06;295.75;140.96;289.32;300.98;84.97;305.81;22.95;155.39;25.59;15.09;56.91;348.46;18.27;39.94;32.79;330.3;330.57;322.39;26.13;100.91;44.66;295.92;281.04;58.44
334.44;139.44;179.25;354.73;5.2;168.88;19.06;313.71;299.58;347.28;294.89;7.14;294.82;244.14;13.39;56.06;340.04;301.78;296.65;142.58;290.92;301.71;82.96;306.98;21.8;152.86;24.13;13.02;54.79;347.92;18.35;36.49;33.68;330.45;332.6;320.67;27.25;95.37;46.98;296.29;286.2;58.51
323;196;390;392;-5.4;124;355.25;20.77;226.59;11.9;-26.1;292;21.98;238.88;296.33;33.42;6.05;262.88;290.05;75.71;257.53;305.8;73.87;317.39;26.5;130;24.8;21.24;64.36;4.62;28.8;59.7;36.6;342.34;322.68;312.62;322.92;110.72;332.88;350.39;223.14;343.43
26.7;247;332;358;122;59.3;354.78;27.8;225.66;25.8;52.1;260;34.36;245.93;278.46;40.51;12.56;263.15;284.87;67.92;254.56;315.38;102.69;311.53;173;122;171;46.4;59.85;18.05;54.5;81.5;65.4;341.85;322.14;313.99;310.69;100.97;319.78;18.75;227.67;324.79
175;369;152;252;193;205;20.72;148.53;303.29;38.1;319;303;122;280;243;164;8;188;279.39;97.09;267.11;298;119;301;163;121;171;41.43;46.43;13.76;36.05;76.65;32.48;331.41;201.14;327.28;349.41;98.23;341.29;49.09;244.52;297.27
175.6;263.73;9.32;5.14;136.9;168.29;18.78;163.85;178.22;8.42;120.11;179.01;137.55;135.61;19.05;35.04;143.03;163.48;165;80.94;168.85;8.63;78.78;2.17;8.31;137.32;19.72;16.53;25.88;120.73;17.42;33.14;1.12;341.71;11.53;354.1;346.06;59.73;148.29;350.76;314.84;0.69
359.02;311.97;8.63;12.44;274.33;333.06;37.61;328.61;355.68;16.03;239.19;358.12;357;251;20.11;27.5;282;344;368;159;348;7.37;87.54;3.94;9.25;140;4.14;26.99;35.92;357.59;4.63;33.7;6.59;340.83;15.04;352.65;340.91;80.88;354.22;344.22;287.11;6.58
357.83;311.39;9.48;13.62;274.38;330.7;38.27;327.62;354.86;14.75;240.91;359.78;343;243;0.51;101;289;255;358;152;360;2.27;93.26;313.27;18.64;161.41;20.09;29.07;43.58;358.09;5.85;45.2;11.9;340.6;14.04;349.87;336.53;89.87;352.65;339.45;270.67;10.79
359.13;309.56;8.67;16.98;274.73;326.73;39.09;329.82;354.18;16.59;238.88;356.96;353;245;38.43;9.01;290;370;379;134;357;0.93;87.46;358.07;23.1;152;23;31.15;47.58;98.19;17.7;44.1;20.5;340.32;14.22;346.98;341.61;96.51;354.23;349.07;248.84;2.24
175;369;152;252;193;205;20.72;148.53;303.29;38.1;319;303;122;280;243;164;8;188;279.39;97.09;267.11;298;119;301;163;121;171;41.43;46.43;13.76;36.05;76.65;32.48;331.41;201.14;327.28;349.41;98.23;341.29;49.09;244.52;297.27
212;256;148;393;182;74;320.21;56.75;221.45;78.1;58.8;325;82.34;245.07;222.96;136;27.57;201;282.37;70.95;264.66;324.98;114.6;326.15;88.42;130.56;103.73;48.11;47.32;17.54;38.87;76.68;38.6;327.56;323.45;318.66;332.9;101.86;327.84;37.62;238.64;307.59
26.7;247;332;358;122;59.3;354.78;27.8;225.66;25.8;52.1;260;34.36;245.93;278.46;40.51;12.56;263.15;284.87;67.92;254.56;315.38;102.69;311.53;173;122;171;46.4;59.85;18.05;54.5;81.5;65.4;341.85;322.14;313.99;310.69;100.97;319.78;18.75;227.67;324.79
6.95;178;1.22;398;-2.21;125;3.11;25.91;227.18;22.28;11.36;273.14;24.69;245.69;290.05;35.95;8.25;263.8;288.21;76.23;256.51;306;78.9;314;57.9;119;62.1;24.35;63.92;8.45;27.2;58.6;35.1;340.78;324.16;313.86;323.23;107.51;331.68;7.66;224.92;335.11
323;196;390;392;-5.4;124;355.25;20.77;226.59;11.9;-26.1;292;21.98;238.88;296.33;33.42;6.05;262.88;290.05;75.71;257.53;305.8;73.87;317.39;26.5;130;24.8;21.24;64.36;4.62;28.8;59.7;36.6;342.34;322.68;312.62;322.92;110.72;332.88;350.39;223.14;343.43
323;196;390;392;-5.4;124;355.25;20.77;226.59;11.9;-26.1;292;21.98;238.88;296.33;33.42;6.05;262.88;290.05;75.71;257.53;305.8;73.87;317.39;26.5;130;24.8;21.24;64.36;4.62;28.8;59.7;36.6;342.34;322.68;312.62;322.92;110.72;332.88;350.39;223.14;343.43
359.19;140.2;190.09;347.99;23.63;148.36;358.6;21.71;227.51;21.77;18.36;271.35;20.61;231.26;298;32.2;7.27;262.13;290.51;77.92;258.37;300.7;83.54;304.21;47.23;151.73;56.29;21.73;65.88;3.87;16.35;65.11;41.04;342.72;320.64;310.3;325.87;116.63;336.41;348.17;222.52;355.33
353.6;135.14;184.48;347.36;22.1;147.43;359.38;20.83;228.39;20.82;16.47;271.76;20.03;230.79;298.24;32.06;7.21;261.73;290.4;79.18;258.32;303.23;87.14;306.88;48.72;151.76;58.17;22.79;66.48;2.77;18.14;67.78;42.6;343.09;318.28;309.35;329.17;120.06;340.12;341.98;222.18;13.6
323;196;390;392;-5.4;124;355.25;20.77;226.59;11.9;-26.1;292;21.98;238.88;296.33;33.42;6.05;262.88;290.05;75.71;257.53;305.8;73.87;317.39;26.5;130;24.8;21.24;64.36;4.62;28.8;59.7;36.6;342.34;322.68;312.62;322.92;110.72;332.88;350.39;223.14;343.43
304.07;139.68;140.32;339.1;16.47;133.43;6.8;338.51;248.16;15.88;321.68;306.82;10.09;229.54;306.82;35.17;340.42;268.61;291.59;113.35;269.61;302.71;79.95;309.69;23.81;155.4;28.34;21.08;65.49;351.8;18.77;57.34;30.79;332.74;319.54;319.9;16.38;120.51;26.37;298.71;251.27;50.36
319.17;138.39;156.76;351.07;18.8;160.85;14.8;329.13;292.26;330.45;296.36;357.08;285.34;237.5;25.7;48.23;331.33;299.69;296.21;138.85;290.52;300.72;86.47;306.88;21.86;157.21;25.67;18.2;62.75;350.96;18.21;44.97;31.02;330.94;329.33;324.76;21.53;112.08;37.42;296.3;268.97;55.34
323;196;390;392;-5.4;124;355.25;20.77;226.59;11.9;-26.1;292;21.98;238.88;296.33;33.42;6.05;262.88;290.05;75.71;257.53;305.8;73.87;317.39;26.5;130;24.8;21.24;64.36;4.62;28.8;59.7;36.6;342.34;322.68;312.62;322.92;110.72;332.88;350.39;223.14;343.43
334.02;138.29;178.89;354.36;358.6;168.31;20.8;312.02;297.45;346.18;294.6;6.29;295.83;246.08;11.44;54.54;336.81;301.06;295.75;140.96;289.32;300.98;84.97;305.81;22.95;155.39;25.59;15.09;56.91;348.46;18.27;39.94;32.79;330.3;330.57;322.39;26.13;100.91;44.66;295.92;281.04;58.44
334.44;139.44;179.25;354.73;5.2;168.88;19.06;313.71;299.58;347.28;294.89;7.14;294.82;244.14;13.39;56.06;340.04;301.78;296.65;142.58;290.92;301.71;82.96;306.98;21.8;152.86;24.13;13.02;54.79;347.92;18.35;36.49;33.68;330.45;332.6;320.67;27.25;95.37;46.98;296.29;286.2;58.51
323;196;390;392;-5.4;124;355.25;20.77;226.59;11.9;-26.1;292;21.98;238.88;296.33;33.42;6.05;262.88;290.05;75.71;257.53;305.8;73.87;317.39;26.5;130;24.8;21.24;64.36;4.62;28.8;59.7;36.6;342.34;322.68;312.62;322.92;110.72;332.88;350.39;223.14;343.43
26.7;247;332;358;122;59.3;354.78;27.8;225.66;25.8;52.1;260;34.36;245.93;278.46;40.51;12.56;263.15;284.87;67.92;254.56;315.38;102.69;311.53;173;122;171;46.4;59.85;18.05;54.5;81.5;65.4;341.85;322.14;313.99;310.69;100.97;319.78;18.75;227.67;324.79
175;369;152;252;193;205;20.72;148.53;303.29;38.1;319;303;122;280;243;164;8;188;279.39;97.09;267.11;298;119;301;163;121;171;41.43;46.43;13.76;36.05;76.65;32.48;331.41;201.14;327.28;349.41;98.23;341.29;49.09;244.52;297.27
359.13;309.56;8.67;16.98;274.73;326.73;39.09;329.82;354.18;16.59;238.88;356.96;353;245;38.43;9.01;290;370;379;134;357;0.93;87.46;358.07;23.1;152;23;31.15;47.58;98.19;17.7;44.1;20.5;340.32;14.22;346.98;341.61;96.51;354.23;349.07;248.84;2.24
